Global,Region,RVP,Director,Manager,IC,Q1_NetNewACV,Q2_NetNewACV,Q3_NetNewACV,Q4_NetNewACV,Q1_CloudSeats,Q2_CloudSeats,Q3_CloudSeats,Q4_CloudSeats,Q1_DCSeats,Q2_DCSeats,Q3_DCSeats,Q4_DCSeats,LTM_ExpansionSpent,Q1_Has_Active_Cert,Q2_Has_Active_Cert,Q3_Has_Active_Cert,Q4_Has_Active_Cert,Open_Pipeline,Late_Stage_Commit,Best_Case_Adds,Current_Seats_ProductX,Knowledge_Workers_Count,Unmigrated_Seats,Is_Brand_New,NetNewACV_4Q_sum,CloudSeats_4Q_sum,DCSeats_4Q_sum
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_1,98257.44,141025.6,166249.84,183790.37,11,27,45,47,52,26,59,58,150219.83,False,True,True,True,407320.79,46009.96,23332.58,171,957,164,no,589323.25,130,195
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_2,175658.57,148068.7,144378.1,319327.19,22,29,26,81,44,39,38,52,459214.44,True,True,True,True,428384.59,87390.21,98078.24,50,1950,0,no,787432.56,158,173
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_3,0.0,0.0,228306.57,363620.92,0,0,47,79,32,24,34,45,89542.05,False,False,False,False,228109.02,112810.85,36991.92,356,3726,83,no,591927.49,126,135
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_4,246217.16,240482.66,225235.02,350753.2,67,41,53,95,29,39,30,34,90827.5,True,True,True,True,408786.0,200792.16,86709.92,318,3751,76,no,1062688.04,256,132
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_5,168377.27,172053.39,162777.49,250657.09,38,25,39,43,40,35,46,50,346966.15,False,True,True,True,402634.59,81191.67,98467.85,165,2303,0,no,753865.23,145,171
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_6,133995.73,165840.2,210960.79,344148.9,21,37,46,86,39,53,34,29,283131.98,True,True,True,True,714927.01,156956.64,74157.24,258,3313,112,no,854945.62,190,155
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_1,IC_Mgr_Dir_RVP_NA_1_1_1_7,528598.72,503507.07,308296.44,546361.34,140,85,82,86,10,16,12,15,98356.74,True,True,True,True,922662.17,343286.14,170179.82,262,855,186,no,1886763.57,393,53
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_2,IC_Mgr_Dir_RVP_NA_1_1_2_1,531110.09,366816.34,282549.21,616337.83,118,47,44,143,6,15,17,8,30836.48,True,True,True,True,1553968.12,341542.69,146933.93,249,4594,15,no,1796813.47,352,46
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_2,IC_Mgr_Dir_RVP_NA_1_1_2_2,254015.94,325431.03,376985.51,322162.17,32,82,49,87,30,35,33,17,95821.4,True,True,True,False,1094085.62,151712.54,158324.14,101,1635,53,no,1278594.65,250,115
Global_Corp,NA,RVP_NA_1,Dir_RVP_NA_1_1,Mgr_Dir_RVP_NA_1_1_2,IC_Mgr_Dir_RVP_NA_1_1_2_3,0.0,0.0,291453.74,302447.72,0,0,38,64,23,21,21,21,246398.88,False,False,True,True,380402.62,121279.97,40977.09,87,1265,49,yes,593901.46,102,86
