Region,fiscal_quarter,q_target,depth,level,node_id,parent,is_leaf,cascaded_quota,base_quota,hedge_buffer,overassignment_pct,share_of_parent
NA,1,25000000.0,0,Global,Global_Corp,,False,25000000.0,25000000.0,0.0,0.0,1.0
NA,1,25000000.0,1,Region,NA,Global_Corp,False,25000000.0,25000000.0,0.0,0.0,1.0
NA,1,25000000.0,2,RVP,RVP_NA_1,NA,False,15285338.72,15285338.72,0.0,0.0,0.611414
NA,1,25000000.0,2,RVP,RVP_NA_2,NA,False,9714661.28,9714661.28,0.0,0.0,0.388586
NA,1,25000000.0,3,Director,Dir_RVP_NA_1_1,RVP_NA_1,False,5690101.81,5690101.81,0.0,0.0,0.372259
NA,1,25000000.0,3,Director,Dir_RVP_NA_1_2,RVP_NA_1,False,4904109.21,4904109.21,0.0,0.0,0.320837
NA,1,25000000.0,3,Director,Dir_RVP_NA_1_3,RVP_NA_1,False,4691127.7,4691127.7,0.0,0.0,0.306904
NA,1,25000000.0,3,Director,Dir_RVP_NA_2_1,RVP_NA_2,False,4453025.02,4453025.02,0.0,0.0,0.458382
NA,1,25000000.0,3,Director,Dir_RVP_NA_2_2,RVP_NA_2,False,5261636.26,5261636.26,0.0,0.0,0.541618
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_1,Dir_RVP_NA_1_1,False,1612655.89,1535862.75,76793.14,0.05,0.269918
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_2,Dir_RVP_NA_1_1,False,1444324.91,1375547.53,68777.38,0.05,0.241744
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_3,Dir_RVP_NA_1_1,False,1694332.77,1613650.26,80682.51,0.05,0.283589
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_4,Dir_RVP_NA_1_1,False,1223293.33,1165041.27,58252.06,0.05,0.204749
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_1,Dir_RVP_NA_1_2,False,1445631.32,1376791.74,68839.59,0.05,0.280742
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_2,Dir_RVP_NA_1_2,False,1105828.96,1053170.44,52658.52,0.05,0.214753
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_3,Dir_RVP_NA_1_2,False,1456424.57,1387071.02,69353.55,0.05,0.282839
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_4,Dir_RVP_NA_1_2,False,1141429.82,1087076.02,54353.8,0.05,0.221666
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_3_1,Dir_RVP_NA_1_3,False,2445897.25,2329425.96,116471.3,0.05,0.49656
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_1_3_2,Dir_RVP_NA_1_3,False,2479786.83,2361701.74,118085.09,0.05,0.50344
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_1,Dir_RVP_NA_2_1,False,1371822.63,1306497.74,65324.89,0.05,0.293396
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_2,Dir_RVP_NA_2_1,False,1475213.74,1404965.47,70248.27,0.05,0.315508
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_3,Dir_RVP_NA_2_1,False,1828639.91,1741561.82,87078.09,0.05,0.391096
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_1,Dir_RVP_NA_2_2,False,1872816.37,1783634.64,89181.73,0.05,0.338989
