depth,level,node_id,parent,is_leaf,cascaded_quota,unhedged_quota,hedge_buffer,overassignment_pct
0,Global,Global_Corp,,False,50000000.0,50000000.0,0.0,0.0
1,Region,APAC,Global_Corp,False,14149905.47,13476100.45,673805.02,0.05
1,Region,EMEA,Global_Corp,False,12121621.43,11544401.36,577220.07,0.05
1,Region,NA,Global_Corp,False,26228473.1,24979498.19,1248974.91,0.05
2,RVP,RVP_APAC_1,APAC,False,14857400.74,13476100.45,1381300.3,0.1025
2,RVP,RVP_EMEA_1,EMEA,False,12727702.5,11544401.36,1183301.14,0.1025
2,RVP,RVP_NA_1,NA,False,17640088.2,15272803.63,2367284.56,0.155
2,RVP,RVP_NA_2,NA,False,11211232.21,9706694.56,1504537.66,0.155
3,Director,Dir_RVP_APAC_1_1,RVP_APAC_1,False,5766156.72,5230074.12,536082.6,0.1025
3,Director,Dir_RVP_APAC_1_2,RVP_APAC_1,False,4102230.65,3720844.13,381386.52,0.1025
3,Director,Dir_RVP_APAC_1_3,RVP_APAC_1,False,4989013.37,4525182.19,463831.17,0.1025
3,Director,Dir_RVP_EMEA_1_1,RVP_EMEA_1,False,5542652.93,5027349.59,515303.33,0.1025
3,Director,Dir_RVP_EMEA_1_2,RVP_EMEA_1,False,7185049.58,6517051.77,667997.81,0.1025
3,Director,Dir_RVP_NA_1_1,RVP_NA_1,False,6566678.02,5685435.51,881242.5,0.155
3,Director,Dir_RVP_NA_1_2,RVP_NA_1,False,5659601.04,4900087.48,759513.56,0.155
3,Director,Dir_RVP_NA_1_3,RVP_NA_1,False,5413809.13,4687280.63,726528.5,0.155
3,Director,Dir_RVP_NA_2_1,RVP_NA_2,False,5139026.07,4449373.22,689652.85,0.155
3,Director,Dir_RVP_NA_2_2,RVP_NA_2,False,6072206.14,5257321.33,814884.81,0.155
4,Manager,Mgr_Dir_RVP_APAC_1_1_1,Dir_RVP_APAC_1_1,False,1530401.49,1388119.26,142282.22,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_1_2,Dir_RVP_APAC_1_1,False,2109838.23,1913685.47,196152.76,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_1_3,Dir_RVP_APAC_1_1,False,2125917.01,1928269.4,197647.61,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_2_1,Dir_RVP_APAC_1_2,False,2310133.31,2095359.02,214774.3,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_2_2,Dir_RVP_APAC_1_2,False,1792097.34,1625485.11,166612.22,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_3_1,Dir_RVP_APAC_1_3,False,1560213.82,1415159.93,145053.89,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_3_2,Dir_RVP_APAC_1_3,False,746257.06,676877.15,69379.91,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_3_3,Dir_RVP_APAC_1_3,False,1155215.64,1047814.64,107401.0,0.1025
4,Manager,Mgr_Dir_RVP_APAC_1_3_4,Dir_RVP_APAC_1_3,False,1527326.86,1385330.48,141996.37,0.1025
4,Manager,Mgr_Dir_RVP_EMEA_1_1_1,Dir_RVP_EMEA_1_1,False,2705611.27,2454069.18,251542.09,0.1025
4,Manager,Mgr_Dir_RVP_EMEA_1_1_2,Dir_RVP_EMEA_1_1,False,2837041.66,2573280.41,263761.24,0.1025
4,Manager,Mgr_Dir_RVP_EMEA_1_2_1,Dir_RVP_EMEA_1_2,False,3930079.7,3564698.14,365381.56,0.1025
4,Manager,Mgr_Dir_RVP_EMEA_1_2_2,Dir_RVP_EMEA_1_2,False,3254969.88,2952353.63,302616.25,0.1025
4,Manager,Mgr_Dir_RVP_NA_1_1_1,Dir_RVP_NA_1_1,False,1772466.73,1534603.23,237863.5,0.155
4,Manager,Mgr_Dir_RVP_NA_1_1_2,Dir_RVP_NA_1_1,False,1587454.5,1374419.48,213035.02,0.155
4,Manager,Mgr_Dir_RVP_NA_1_1_3,Dir_RVP_NA_1_1,False,1862237.63,1612326.95,249910.68,0.155
4,Manager,Mgr_Dir_RVP_NA_1_1_4,Dir_RVP_NA_1_1,False,1344519.16,1164085.85,180433.31,0.155
4,Manager,Mgr_Dir_RVP_NA_1_2_1,Dir_RVP_NA_1_2,False,1588890.38,1375662.67,213227.71,0.155
4,Manager,Mgr_Dir_RVP_NA_1_2_2,Dir_RVP_NA_1_2,False,1215414.31,1052306.76,163107.55,0.155
4,Manager,Mgr_Dir_RVP_NA_1_2_3,Dir_RVP_NA_1_2,False,1600753.21,1385933.52,214819.7,0.155
4,Manager,Mgr_Dir_RVP_NA_1_2_4,Dir_RVP_NA_1_2,False,1254543.14,1086184.54,168358.6,0.155
4,Manager,Mgr_Dir_RVP_NA_1_3_1,Dir_RVP_NA_1_3,False,2688280.59,2327515.66,360764.93,0.155
4,Manager,Mgr_Dir_RVP_NA_1_3_2,Dir_RVP_NA_1_3,False,2725528.55,2359764.98,365763.57,0.155
4,Manager,Mgr_Dir_RVP_NA_2_1_1,Dir_RVP_NA_2_1,False,1507767.39,1305426.32,202341.08,0.155
4,Manager,Mgr_Dir_RVP_NA_2_1_2,Dir_RVP_NA_2_1,False,1621404.35,1403813.29,217591.06,0.155
4,Manager,Mgr_Dir_RVP_NA_2_1_3,Dir_RVP_NA_2_1,False,2009854.32,1740133.61,269720.71,0.155
4,Manager,Mgr_Dir_RVP_NA_2_2_1,Dir_RVP_NA_2_2,False,2058408.58,1782171.93,276236.65,0.155
4,Manager,Mgr_Dir_RVP_NA_2_2_2,Dir_RVP_NA_2_2,False,2465551.02,2134676.2,330874.81,0.155
4,Manager,Mgr_Dir_RVP_NA_2_2_3,Dir_RVP_NA_2_2,False,1548246.55,1340473.2,207773.35,0.155
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_1,Mgr_Dir_RVP_APAC_1_1_1,True,310848.19,281948.47,28899.72,0.1025
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_2,Mgr_Dir_RVP_APAC_1_1_1,True,362111.39,328445.71,33665.68,0.1025
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_3,Mgr_Dir_RVP_APAC_1_1_1,True,280916.75,254799.77,26116.98,0.1025
