Node,Level,Cascaded_Quota,Pipeline,Coverage_Ratio,Healthy_Threshold,At_Risk_Threshold,Risk_Status
Global_Corp,0,50000000.0,132971233.6,2.6594,2.0,1.0,Healthy
APAC,1,14198737.6,34977351.28,2.4634,3.0,1.5,Moderate
EMEA,1,11992214.32,24975973.69,2.0827,2.5,1.2,Moderate
NA,1,26309048.07,73017908.63,2.7754,1.5,0.8,Healthy
RVP_APAC_1,2,14908674.48,34977351.28,2.3461,3.0,1.5,Moderate
RVP_EMEA_1,2,12591825.04,24975973.69,1.9835,2.5,1.2,Moderate
RVP_NA_1,2,18560067.27,50822057.82,2.7382,1.5,0.8,Healthy
RVP_NA_2,2,10379885.61,22195850.81,2.1384,1.5,0.8,Healthy
Dir_RVP_APAC_1_1,3,5556691.07,14298266.11,2.5732,3.0,1.5,Moderate
Dir_RVP_APAC_1_2,3,3690247.41,8017810.46,2.1727,3.0,1.5,Moderate
Dir_RVP_APAC_1_3,3,5661736.0,12661274.71,2.2363,3.0,1.5,Moderate
Dir_RVP_EMEA_1_1,3,6552312.61,13181111.8,2.0117,2.5,1.2,Moderate
Dir_RVP_EMEA_1_2,3,6039512.44,11794861.89,1.9529,2.5,1.2,Moderate
Dir_RVP_NA_1_1,3,6411348.17,16136390.21,2.5168,1.5,0.8,Healthy
Dir_RVP_NA_1_2,3,7314945.39,23640463.96,3.2318,1.5,0.8,Healthy
Dir_RVP_NA_1_3,3,4833773.71,11045203.65,2.285,1.5,0.8,Healthy
Dir_RVP_NA_2_1,3,4606238.64,9506424.59,2.0638,1.5,0.8,Healthy
Dir_RVP_NA_2_2,3,5773646.96,12689426.22,2.1978,1.5,0.8,Healthy
Mgr_Dir_RVP_APAC_1_1_1,4,1510600.24,4072737.28,2.6961,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_1_2,4,2013073.01,5778952.22,2.8707,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_1_3,4,2033017.82,4446576.61,2.1872,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_2_1,4,2016621.37,4439787.39,2.2016,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_2_2,4,1673626.04,3578023.07,2.1379,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_3_1,4,1914244.7,4794217.42,2.5045,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_3_2,4,1138079.6,2115751.15,1.8591,3.0,1.5,Moderate
Mgr_Dir_RVP_APAC_1_3_3,4,1118487.6,2797087.6,2.5008,3.0,1.5,Moderate
