Node,Level,Cascaded_Quota,Pipeline,Coverage_Ratio,Healthy_Threshold,At_Risk_Threshold,Risk_Status
Global_Corp,0,50000000.0,159898056.5,3.198,1.0,0.75,Healthy
APAC,1,15772516.95,40504776.13,2.5681,1.0,0.7,Healthy
EMEA,1,12115346.08,28831550.03,2.3798,1.05,0.75,Healthy
NA,1,24612136.98,90561730.34,3.6796,1.1,0.8,Healthy
RVP_APAC_1,2,16561142.8,40504776.13,2.4458,1.0,0.7,Healthy
RVP_EMEA_1,2,12721113.38,28831550.03,2.2664,1.05,0.75,Healthy
RVP_NA_1,2,14128138.19,60305324.39,4.2685,1.1,0.8,Healthy
RVP_NA_2,2,11714605.63,30256405.95,2.5828,1.1,0.8,Healthy
Dir_RVP_APAC_1_1,3,6045551.04,17558132.06,2.9043,1.0,0.7,Healthy
Dir_RVP_APAC_1_2,3,5884923.87,9605221.26,1.6322,1.0,0.7,Healthy
Dir_RVP_APAC_1_3,3,5458725.02,13341422.81,2.4441,1.0,0.7,Healthy
Dir_RVP_EMEA_1_1,3,5657514.98,12156864.24,2.1488,1.05,0.75,Healthy
Dir_RVP_EMEA_1_2,3,7699654.07,16674685.79,2.1656,1.05,0.75,Healthy
Dir_RVP_NA_1_1,3,4516208.68,23378086.82,5.1765,1.1,0.8,Healthy
Dir_RVP_NA_1_2,3,6013489.21,20034698.65,3.3316,1.1,0.8,Healthy
Dir_RVP_NA_1_3,3,4304847.21,16892538.92,3.9241,1.1,0.8,Healthy
Dir_RVP_NA_2_1,3,5734084.0,12948112.27,2.2581,1.1,0.8,Healthy
Dir_RVP_NA_2_2,3,6566251.91,17308293.68,2.6359,1.1,0.8,Healthy
Mgr_Dir_RVP_APAC_1_1_1,4,0.0,4726302.0,0.0,1.0,0.7,Critical
Mgr_Dir_RVP_APAC_1_1_2,4,3340793.27,6602080.58,1.9762,1.0,0.7,Healthy
Mgr_Dir_RVP_APAC_1_1_3,4,3007035.32,6229749.48,2.0717,1.0,0.7,Healthy
Mgr_Dir_RVP_APAC_1_2_1,4,2996279.27,5602729.64,1.8699,1.0,0.7,Healthy
Mgr_Dir_RVP_APAC_1_2_2,4,3182890.79,4002491.62,1.2575,1.0,0.7,Healthy
Mgr_Dir_RVP_APAC_1_3_1,4,1637062.93,5168383.59,3.1571,1.0,0.7,Healthy
